ERT,SIRT,MIRT
613.060701,611.379401,602.563099
613.2779,611.5461,607.0087
613.4623,611.6769,608.110299
613.663,611.804601,608.632699
613.845901,611.9614,609.1378
614.767501,612.1192,609.637499
614.9925,612.263301,610.1381
615.2835,612.4004,610.430801
615.559199,612.5347,610.7223
617.9556,612.6844,611.0113
417.7014,416.5435,416.5841
417.3719,416.5157,416.7585
417.2263,416.4973,416.919699
417.2252,416.4804,731.6786
417.1928,416.465699,773.7769
417.1049,416.4607,776.5562
416.949201,416.444801,776.7782
416.8261,416.4286,776.998299
416.7071,416.427801,777.182801
416.608599,416.396599,789.0219
591.7302,590.3214,592.697701
591.309999,590.3024,593.1364
591.116,590.351901,601.403899
591.030999,590.3682,680.6037
590.955,590.355399,680.761599
590.838899,590.3406,680.932
590.725601,590.3285,681.073501
590.614099,590.656,682.5062
590.5014,590.657099,691.5614
590.4118,590.6439,691.6769
494.4704,492.8741,600.3854
494.186001,492.8466,600.483999
494.059299,493.007701,600.5475
494.4067,493.002599,600.639501
493.475399,492.983701,600.731199
493.374,492.9588,600.8054
493.3608,492.94,600.9226
493.2859,492.9227,626.1959
493.1015,492.8995,626.319701
492.948999,493.4541,775.907399
579.1848,577.9552,577.757001
578.9339,577.911501,577.843999
578.8297,577.880599,578.642101
578.7429,577.8504,584.633401
578.6631,577.822,585.6085
578.5801,577.7892,600.7339
578.4933,577.756899,600.808199
578.4108,577.7288,601.0333
578.158401,577.6918,601.5864
578.035699,577.6605,601.786499
404.6237,411.2998,411.7841
404.376699,411.26,412.475
404.241499,411.500401,413.949899
411.931101,411.526801,416.8632
411.8585,411.8156,430.735799
411.778601,411.801901,430.797
411.6912,411.7734,430.867801
411.6117,411.744301,431.111499
411.4847,411.7144,431.165901
411.3781,411.7187,432.4106
235.328201,234.199099,268.8871
235.060699,234.1547,269.518999
234.922001,234.1138,269.6135
234.8268,234.134599,269.6602
234.744,234.087,269.701399
234.6586,234.052901,286.500501
234.574999,268.878299,286.6537
234.493599,268.8563,286.6837
234.3883,268.824101,286.943899
234.2873,268.791501,286.9744
90.1507,88.236199,101.780699
89.871201,88.1924,101.8347
89.7645,88.158601,102.0735
89.6758,88.124301,102.0968
89.577499,88.0918,102.542001
89.4878,88.057,108.7145
88.7151,88.0293,145.6724
88.5998,89.325899,145.8467
88.5133,89.3511,145.8658
88.3288,89.3244,145.894999
23.179701,53.3642,53.097101
54.0962,53.321899,53.105199
54.0051,53.285801,53.113999
53.927499,53.253299,53.1223
53.8445,53.216901,62.593101
53.7661,53.179401,62.642199
53.6866,53.1428,62.7445
53.6095,53.1068,62.7587
53.524199,53.110799,62.7712
