ERT,SIRT,MIRT
234.018,226.3467,28.5562
234.243099,229.0258,56.8358
234.4266,229.162401,61.3525
234.625401,229.2949,63.4764
234.8046,229.4635,65.872799
235.0038,229.6511,208.370601
235.2224,229.812199,210.0045
235.4558,232.378799,213.1828
235.7427,232.5349,222.835
238.2517,232.7169,225.9535
53.376301,51.8992,66.5958
53.024199,51.8666,69.5229
52.849599,51.8511,76.650401
52.711401,52.8091,305.7181
52.6008,52.8157,305.943901
52.4647,52.8075,306.1187
52.357699,52.7889,306.294099
52.2528,52.7741,305.7846
52.1312,56.8778,305.913901
51.961801,64.3742,306.0697
109.217,136.5813,145.507401
137.5152,136.538599,149.2856
137.418,136.5189,151.6347
137.3392,137.232299,161.320999
137.261599,137.2003,167.3189
137.188099,137.1539,171.4155
137.1038,137.2575,174.9194
137.0268,137.241501,179.1773
136.9478,138.0375,179.4496
136.8219,138.0287,246.4456
50.1639,49.6673,60.4161
49.8937,49.6384,65.501299
49.7653,49.6208,68.521001
50.2043,49.5976,75.877501
50.180101,49.5728,78.869801
50.105101,49.547801,83.842299
50.029799,49.526399,85.5348
49.9547,49.499799,94.286
49.8262,54.841499,104.4776
49.729499,54.824801,164.551
49.644,66.6733,83.7736
67.6432,66.6354,98.3906
67.5326,66.6068,102.6823
67.4471,68.9442,118.568099
67.3663,68.9283,125.257799
67.2855,68.901101,126.704099
67.0619,68.8755,145.0078
66.949,68.8503,160.1425
66.8495,79.4555,163.841
66.747901,79.524001,169.8537
29.402999,36.0989,83.4071
37.0449,36.066699,97.4505
36.955399,36.0353,102.6095
36.8762,41.9833,109.0182
36.7044,42.971,119.764699
36.560301,42.9649,124.050599
36.4627,42.9377,134.249699
36.367701,42.907701,136.6454
36.2712,67.1269,138.8934
36.177,74.5867,142.8993
29.129801,47.670601,55.863399
48.601501,47.629999,66.8549
48.4456,47.5942,77.732
48.357399,48.3923,80.6899
48.2715,48.3723,84.9511
48.1424,48.343301,87.5859
48.0392,48.3142,237.342101
47.9428,48.2852,237.4023
47.8495,50.430499,237.458199
47.751899,50.413899,237.5074
66.6215,65.855199,70.5002
66.4258,65.8129,71.847499
66.3281,65.775999,75.212201
66.2499,65.8716,80.4048
66.166801,65.851,82.945599
66.0902,65.8233,85.7454
66.011101,65.7995,104.0314
65.9359,66.991899,108.6598
66.1852,69.0048,110.9143
66.0029,68.9975,116.2737
8.9728,26.3815,48.3905
27.3126,26.3368,49.122701
27.1883,26.302099,51.9033
27.1021,26.457199,223.7519
27.0204,26.4446,638.3288
26.939901,26.4149,640.8353
26.824,26.3832,640.8721
26.6595,26.3503,640.8926
26.5611,43.968,640.9107
26.463501,43.9544,640.9282
443.3649,441.9828,440.983301
443.0201,441.9361,440.9997
442.884299,441.9018,441.0126
442.7989,441.869,441.0293
442.7192,441.1601,441.0483
442.6407,441.1035,441.0657
442.5638,441.0679,441.085
442.4114,441.0307,441.1038
442.290901,440.9976,441.1217
442.0944,440.967,441.137001
245.478099,244.260601,243.939
245.1421,244.2053,243.956101
245.009,244.1715,243.9542
244.9231,244.136501,243.9649
244.7878,244.100901,243.9839
244.6658,244.070001,244.0023
244.5697,244.025199,244.057199
244.4763,243.9942,244.076299
244.3845,243.9607,244.1073
244.2915,243.9207,244.155
46.7216,46.5384,228.489
47.522899,46.493,228.510899
47.4308,46.4568,228.525699
47.350601,46.4201,317.918
47.2702,46.3832,317.9588
47.1895,46.3126,317.9758
47.107299,46.2434,317.9972
46.8702,46.2065,318.0483
46.7287,228.4017,318.074599
46.622,228.3995,737.980899
540.0163,538.8596,538.5916
539.6481,538.815,539.074899
539.511399,538.7806,539.0977
539.4255,538.748,544.4499
539.3416,538.7156,545.243201
539.2615,538.6827,545.3366
539.179199,538.649,568.7477
539.0508,538.615801,585.2558
538.953499,538.5825,586.656399
538.8547,538.5484,587.3797
390.133501,389.0499,397.0665
389.8734,389.0202,397.4844
389.7458,388.9857,401.070899
389.660199,389.012799,401.0928
389.583399,388.980199,404.686999
389.5059,388.9984,404.9131
389.4276,388.9313,471.8578
389.353301,388.8956,471.903799
389.2337,388.8592,472.2941
389.1285,388.823299,473.2839
275.5585,274.3414,274.132601
275.2129,274.301201,310.2048
275.108901,274.264499,310.7325
275.0191,274.3111,331.330199
274.935399,274.305,332.152399
274.8586,274.272,332.168401
274.775401,274.246,332.9042
274.6095,274.2135,335.1015
274.486901,274.130901,437.4847
274.367201,274.0809,439.7396
242.4811,241.294001,242.526799
242.2797,241.2492,242.6533
242.183101,241.374999,242.697399
242.0664,241.3476,267.8856
241.889001,241.3118,268.053799
241.7883,241.2757,268.3669
241.6937,241.2402,268.469001
241.601601,241.2075,268.535001
241.5028,241.1734,268.8802
241.383,241.1377,296.5669
98.9287,97.8532,97.5698
98.644101,97.810001,97.677801
98.5184,97.776101,97.6959
98.432901,97.7421,97.7314
