ERT,SIRT,MIRT
51.954899,50.121,35.5337
52.1632,50.279,36.1672
52.3472,50.4272,37.254501
52.546,50.563099,37.778899
52.7329,50.7178,38.291899
53.8353,50.9464,38.8247
54.056601,51.1026,47.9309
54.3246,51.2488,49.0579
54.7086,51.391701,49.3685
57.0926,51.543,49.7183
18.2775,48.844301,48.846199
49.897,48.809999,48.991901
49.7834,48.7863,49.130601
49.689001,48.7665,49.2697
49.5993,48.7499,49.48
49.5104,48.726599,49.760199
49.4241,48.7047,49.9409
49.224,48.6856,50.1165
49.0325,48.7156,50.288
48.919299,48.6998,50.436501
6.2426,7.9157,10.9904
8.852099,7.8885,11.1616
8.7045,7.8705,11.3226
8.6133,7.8503,11.561899
8.505399,7.8295,12.6088
8.402201,7.8106,12.815401
8.280001,7.7849,12.9886
8.178299,7.7658,14.5852
8.079501,10.6871,14.7465
7.9811,10.6788,14.8798
6.1303,9.2786,12.544999
9.7775,9.251301,12.628099
9.6998,9.2303,13.357099
10.0659,9.2066,13.4963
10.0009,9.1837,13.574999
9.873301,9.1603,13.7725
9.656899,9.139099,14.0934
9.553999,9.1145,14.216
9.446799,12.4383,14.3193
9.3463,12.427,14.4197
7.2129,22.5299,36.952501
23.292,22.4984,37.0459
23.159799,22.4752,37.135101
23.074699,22.450401,37.2573
22.9953,22.4278,37.365
22.9128,22.4035,38.4538
22.8312,22.378499,38.585901
22.7474,22.351301,38.6745
22.666301,36.687,38.809499
22.585099,36.6546,38.9101
6.4341,10.9928,11.6085
11.9959,10.9538,11.986199
11.848,10.9239,12.1018
11.729599,10.8926,12.8013
11.6276,11.2774,12.861301
11.505,11.2909,12.907799
11.356999,11.266599,13.0012
11.2382,11.2396,13.051
11.1476,11.262799,13.0936
11.0578,11.236801,12.5892
5.1303,7.221901,9.262199
8.1353,7.1826,9.3094
8.000599,7.1594,9.3788
7.9115,7.1788,10.0019
7.8315,7.158301,10.184501
7.720699,7.1254,10.2359
7.637799,7.0962,10.300901
7.5356,7.0677,10.3724
7.4003,9.1106,10.4115
7.2969,9.092799,10.4558
5.900701,19.842001,31.785301
20.7693,19.8045,31.8391
20.6903,19.776899,31.879601
20.5984,19.745,31.917599
20.5149,19.715099,31.9489
20.4444,19.686201,32.0261
20.3668,19.6543,32.0639
20.288,21.0947,32.098699
20.211399,31.261,32.1331
19.926299,31.2714,32.185301
6.4838,9.3361,11.5653
11.2079,9.294799,11.6006
11.025,9.2792,12.846
10.8842,9.2995,12.9566
10.743899,9.2713,12.98
10.6194,9.244001,13.003301
10.3953,9.2131,13.0299
9.6074,9.1831,13.059099
9.506599,11.419101,13.0757
9.4121,11.4012,13.1208
10.0787,16.444701,16.830601
17.1457,16.4078,16.8631
17.0572,16.378399,16.743699
16.977,16.3452,16.7494
16.8998,16.3156,18.4376
16.8229,16.280701,18.611
16.742601,16.2504,18.6341
16.6571,16.214699,18.7332
16.581399,16.639599,18.7557
16.4995,16.62,18.7753
6.8164,17.9096,31.0892
18.7377,17.8681,31.1462
18.634299,17.837201,31.2987
18.5532,17.8076,31.3331
18.4762,17.775801,31.378
18.3815,17.745501,31.3977
18.3048,17.7177,31.4385
18.1857,17.6831,31.495899
18.0785,31.064901,31.6629
17.981501,31.0442,31.6987
4.467699,7.776399,10.9089
8.8089,7.7337,10.9693
8.7225,7.7013,11.663499
8.5949,7.67,11.714
8.370399,7.6382,11.9259
8.2739,7.6079,11.9544
8.173299,7.5815,12.831899
8.0557,7.5502,12.907099
7.956201,10.8551,12.9284
7.8537,10.833999,12.946899
52.003299,86.482401,86.278899
87.225701,86.4468,86.2577
87.1036,86.4183,86.2991
87.0227,86.387499,86.4659
86.9435,86.3579,86.789599
86.867599,86.3291,86.8204
86.785299,86.3011,87.451
86.7008,86.2671,87.5175
86.6249,86.2756,87.5335
86.538899,86.248399,87.5968
107.4775,128.5506,128.5176
129.4321,128.546099,128.6555
129.2904,128.534299,129.3052
129.2056,128.5252,129.8298
