ERT,SIRT,MIRT
72.368599,149.4955,161.0298
70.364401,150.63,164.7732
70.766501,156.741999,164.839899
140.859999,156.8259,164.9349
142.6972,156.8939,172.460901
147.9131,157.104301,173.527699
148.065901,157.165101,173.5922
148.6409,157.920599,173.9277
175.2276,160.929901,177.3469
188.6221,161.000301,177.500399
101.7809,112.399701,138.3595
101.9034,112.4633,138.4953
102.3034,110.311,138.5572
101.9189,110.554701,138.6145
108.7722,113.504499,138.6721
108.8956,113.5696,138.7263
109.139299,113.731199,139.7779
109.2637,115.184699,139.837499
124.683899,121.4703,139.8875
144.5409,139.6056,140.7301
393.4777,410.0117,430.7123
397.4392,410.0846,430.8804
397.6329,417.9116,430.9557
397.559,418.0849,434.7048
409.6083,421.0536,434.8744
409.648001,428.8146,434.9479
409.8638,428.9822,435.1615
409.935,429.059,436.953999
429.873999,429.408601,437.1145
438.6291,429.4846,437.192501
266.3654,267.1112,296.9394
266.911,281.9179,297.087299
267.0326,282.0012,297.1592
267.8602,282.1915,303.145
282.912199,283.007,303.3104
283.101999,283.0537,305.904
283.050599,283.1282,315.1961
283.1267,283.2079,318.9475
283.530299,283.280701,343.5312
314.4174,296.503201,346.7175
152.929301,159.2845,183.469399
153.128299,159.3572,183.5442
153.4868,182.677899,183.777099
154.0339,182.818601,183.850199
158.9015,182.913701,184.2584
159.0656,183.098699,184.330099
159.0919,183.172699,184.4016
159.2581,183.236499,184.474401
184.0247,183.4265,184.552199
185.8269,183.4093,184.6462
133.5613,201.422,212.5903
186.6193,201.537,212.6419
199.8796,201.6309,212.6911
201.5744,202.221,212.7411
203.2337,202.3087,212.6409
203.3068,202.386901,212.6891
203.3826,202.4617,212.9809
203.4518,202.5462,213.0249
214.368601,203.5294,213.0722
214.413101,203.234699,213.2043
196.559,211.876501,226.5281
202.5577,211.923,232.6258
202.686501,215.9037,233.2934
211.1095,216.1367,233.2467
211.2204,216.138899,234.8969
211.2524,218.2011,234.9518
211.2858,219.646001,235.3038
211.718399,226.3863,237.9489
212.1235,238.7466,238.0102
212.7123,238.7722,238.2742
212.1215,227.3113,262.5331
212.1541,262.466001,262.6427
212.4311,262.6666,262.6624
214.4403,263.265901,262.6848
227.157099,263.2872,262.0972
227.2645,263.3095,262.0306
227.537,263.331099,262.8739
227.4426,263.353,262.897299
227.7133,264.5192,262.9164
227.6099,264.5441,262.938999
142.0973,156.531501,173.774501
145.2544,156.6076,189.5814
150.540799,156.6346,189.610101
150.4104,156.877401,189.6288
150.5442,157.809,189.8052
156.229399,158.671899,190.2998
156.2611,160.9103,190.3229
156.3773,161.011401,190.3635
191.235799,163.8427,190.4186
191.8198,163.886799,190.405901
39.248001,65.1433,82.1981
42.5529,81.1291,84.5244
42.463099,81.342901,84.698099
64.5802,81.3294,109.8413
64.6086,81.210099,110.37
64.7202,81.3293,110.390701
64.740201,81.9506,110.475
65.059699,82.1739,110.636701
67.2266,85.4858,110.616101
81.419599,110.581,110.638801
160.844399,206.4861,221.6
160.6937,206.4778,221.8393
160.9255,206.5085,221.862799
186.487099,206.4401,222.369199
190.0237,221.4041,222.3971
190.957301,221.511801,222.422
192.483001,221.8088,222.444301
206.376599,221.8204,244.7783
222.839,222.3998,244.92
246.06,222.3309,244.956199
198.6314,212.8701,227.539099
212.5673,216.516099,227.635999
212.657899,216.7114,230.1431
212.5182,220.059401,230.242901
212.8883,220.161201,230.265401
212.9186,220.1852,230.2796
212.9396,220.3073,237.4687
213.3662,220.6838,237.576701
227.1706,226.325701,237.6107
231.460201,226.495,237.6359
219.4261,246.5695,278.5392
227.870101,246.664099,278.6503
227.7918,246.684599,278.673699
230.7177,246.805299,278.693501
238.2048,278.282401,278.7116
238.3036,278.4695,279.1723
238.320801,278.436701,279.1891
238.506599,279.575701,279.2089
242.789599,279.6108,279.297499
278.960001,409.3271,408.7405
236.5554,244.862399,267.3818
244.6185,244.8869,267.404801
244.781401,244.9064,267.4265
252.485501,245.041499,267.929501
252.506299,266.9123,268.0195
252.525799,266.9464,268.0424
252.6172,267.2219,268.060799
252.634599,267.301801,268.086901
268.07,267.4657,268.397399
268.089199,267.4857,320.6189
121.755,122.7207,122.7036
122.2265,122.7452,122.6616
122.2644,122.766599,122.674
122.272599,122.7901,122.6914
122.1286,122.814,122.660001
122.2424,122.8314,122.7848
122.496,123.6127,122.753401
122.390299,123.6456,123.7089
122.3676,123.665201,123.727101
122.7405,123.687399,124.1501
257.1735,278.6764,279.545901
257.1932,278.9429,279.723701
258.343,278.969699,279.978301
259.3919,279.1058,280.000999
279.6563,279.178499,280.0372
279.6815,279.203301,280.1461
279.7867,279.659,279.974901
279.8009,279.676,280.266599
281.4614,279.6947,291.481399
282.086999,279.7114,291.507299
93.5578,93.4494,94.412801
93.5076,93.4215,94.574301
93.630499,93.4452,94.590701
93.485,93.462399,94.6075
94.0522,93.541999,94.6279
94.3097,93.559701,103.5741
94.4246,93.5796,105.0617
94.7803,93.597499,105.119701
94.7981,93.6621,105.1459
95.839401,94.770601,105.280399
23.3345,48.8525,57.302
24.222099,49.009501,57.316601
24.5339,49.114701,61.4299
27.500201,50.6361,61.4458
36.225,50.724,61.5757
39.3632,57.374399,63.2849
39.3473,57.7461,63.3691
44.904399,61.7039,83.891401
49.1954,85.1351,83.9168
52.2968,85.1616,84.4551
122.4942,132.2551,152.341899
124.0291,135.4579,152.488199
124.940701,143.3532,156.797099
130.1781,143.3734,156.822099
130.1488,143.517499,156.8817
135.727199,143.5346,156.997
135.8388,152.2463,158.3942
143.4159,152.282801,158.4179
153.0088,152.417501,210.029099
159.7604,152.3359,210.263701
67.6203,96.455399,111.0474
70.014499,102.379099,112.4012
76.7419,103.5891,115.203199
88.7666,105.2177,115.2302
96.2603,105.3463,115.342699
96.287801,105.8458,125.8628
96.3057,108.0537,125.953799
96.4351,108.1406,126.8239
130.9573,110.2919,126.908801
131.0667,110.3896,129.6066
52.3314,64.895199,81.9625
52.2969,65.492201,81.9718
52.394,81.483199,82.268399
64.7109,81.5089,82.600201
64.902,81.6157,82.617901
64.7803,82.464,82.6311
64.794,82.481499,82.7995
82.5189,82.4987,85.7306
82.5479,82.479,97.9553
82.6586,82.418199,97.9806
52.0283,81.432501,92.8892
56.955501,81.448401,92.975899
56.9691,81.4646,92.9966
69.816199,81.606701,93.0137
71.8756,81.627199,93.030999
74.7716,82.4427,93.5701
74.7976,92.5706,93.3593
74.9029,93.424701,95.8316
94.278001,93.4381,95.854199
97.470501,93.596499,95.8727
114.8313,137.2174,150.4131
120.356199,137.2456,150.4252
120.6534,137.353301,150.725599
120.6468,137.3661,157.8099
