ERT,SIRT,MIRT
30.0546,47.4667,57.199799
28.023701,47.8248,58.810101
27.9519,47.6475,59.464199
29.615399,48.098299,60.173199
30.196001,48.1591,62.4161
35.750099,48.460901,65.6194
37.1821,48.2686,66.538401
39.7886,48.319201,68.7485
47.951701,48.6373,69.294599
48.334799,49.0276,70.1263
21.662199,40.809001,53.1922
23.6279,38.2721,53.366201
26.744801,40.347,54.266499
29.5797,55.4425,57.2091
29.716,52.736601,58.260301
32.2319,52.717699,58.333299
33.003101,52.818899,58.3814
35.7016,52.887701,58.420999
36.4731,53.3925,59.3354
37.552599,56.2724,59.6729
20.619,35.0083,60.1698
21.1701,42.781799,60.248499
21.280201,43.7602,60.4325
23.133701,48.0692,60.635
24.5328,51.2462,60.7037
27.7819,51.374101,60.7676
29.820801,51.446501,61.1031
32.9067,59.9855,64.1384
34.930799,60.959001,66.86
38.205299,63.9956,66.937599
18.4813,35.237301,48.007599
21.0292,35.4993,48.920701
21.853799,35.603501,49.194
22.022499,37.3189,49.5824
22.6145,38.335901,50.9451
25.8292,40.6485,51.0421
29.130599,41.5407,54.6681
33.6276,47.1657,54.759099
33.763999,48.0671,54.8259
36.5367,55.457601,55.511799
17.717701,31.777399,46.828
20.3327,37.338901,53.234801
20.4435,37.5623,53.997699
21.6067,38.589001,55.9237
22.4723,40.567199,59.3851
25.694099,41.6814,59.418899
26.779199,42.6648,78.583099
27.787799,44.445501,78.9233
29.9964,44.7652,78.851501
32.055199,48.032499,79.1102
102.2629,113.590901,135.719199
103.178,116.114701,135.827001
104.276999,117.237601,135.946399
105.305199,118.3728,136.021101
106.3612,119.9068,136.0883
107.447599,125.594401,142.0804
107.6592,126.770899,142.136701
113.438899,135.8277,142.2876
114.436101,148.0889,142.330199
121.1025,148.1399,142.3857
44.688801,53.327199,79.420401
45.0025,59.913901,79.5423
48.018699,59.953101,79.832399
48.214001,64.8567,80.040099
48.1991,64.959999,80.077901
54.1214,65.0012,80.0107
59.259099,65.040599,147.078801
59.907599,65.077899,150.0637
65.7339,80.0649,150.8551
81.4181,80.0644,152.381099
23.564901,38.8791,50.841501
26.772099,39.8323,51.8752
27.5769,43.011299,56.0348
29.913099,43.3973,57.194999
29.995899,44.212,57.2669
30.613001,45.982801,59.3832
36.9633,46.757399,61.2442
37.925099,48.1114,61.9024
54.894901,49.1478,67.951201
72.3472,50.338101,71.2459
28.2533,43.133,56.1484
31.1711,44.245801,56.999401
32.1752,45.235,59.103599
33.0509,46.292701,66.963901
33.963799,47.443,69.0581
38.9931,49.4543,69.1391
41.116599,50.182701,70.0435
41.2209,51.166801,71.145199
52.9017,53.050501,72.1745
77.936001,54.0695,76.3648
18.548799,39.4627,50.7152
19.2994,41.4891,58.4304
21.945,43.669099,59.2786
23.988701,44.7297,60.3441
25.0443,45.628399,61.289501
29.1049,48.4937,61.355301
30.245199,48.588601,62.3329
34.235301,49.614599,62.354101
35.175,64.2469,63.5817
41.248401,66.2602,64.616201
20.8147,39.336,51.9793
21.8136,40.3127,53.9178
24.987901,41.5471,55.1599
24.958401,42.527901,56.2601
25.794,43.7008,57.221299
25.857899,46.869899,58.8277
30.238,47.903701,59.8526
30.311599,48.9728,60.389401
46.341299,49.944699,61.175301
65.7172,50.9573,63.231399
25.017201,38.1508,55.53
26.9437,39.1855,55.5487
29.1236,41.3421,55.563201
29.0522,41.5825,56.7799
32.916199,43.4242,56.845199
34.0383,44.3852,57.398801
35.043201,45.8361,58.4013
37.0592,46.451699,58.418301
52.616401,55.4251,59.503601
61.840501,55.509699,59.628
21.8446,34.8863,59.3307
26.231201,35.8983,60.241999
26.2856,36.864899,61.3445
27.1898,38.940001,62.355
29.878701,41.2552,63.4115
29.939101,42.1965,64.5509
31.153199,44.1134,65.555399
31.9908,44.971501,67.9131
40.511799,46.584301,69.3449
74.1527,52.256401,71.8802
33.6748,47.2991,65.2263
36.3178,48.2983,66.820899
37.329799,49.430099,68.624799
38.2141,50.3755,69.4926
43.1106,51.4502,70.6222
44.2544,54.582599,72.180799
45.388199,55.563201,72.573
46.2429,56.681201,72.746599
53.171,58.5363,73.6048
76.8229,64.194199,75.274699
56.0684,66.2837,79.2356
56.049,66.9034,85.0595
56.0532,67.8595,85.939501
56.8514,69.032299,87.004899
57.916701,70.014301,88.0262
62.3175,73.1949,90.068399
63.3645,74.1134,90.2274
64.5453,75.181,93.0513
