ERT,SIRT,MIRT
33.766,42.742,58.564999
37.935599,44.4697,58.696
36.0964,44.848,170.2471
35.9641,56.198701,180.1285
36.4232,56.9268,195.1583
35.968499,57.1882,205.823899
37.2134,57.3336,210.327701
37.886,58.4201,413.5089
37.8516,46.756499,421.7237
38.2642,47.3829,433.744901
32.8436,46.6309,235.3016
33.1603,47.3429,245.008299
33.347701,53.6409,245.1389
33.7786,63.8984,254.859501
36.5867,78.775901,259.7562
38.7241,88.7208,513.558701
41.1561,94.9537,514.0185
44.4095,95.087601,523.7872
173.3861,414.361501,528.4067
268.655,424.194999,566.1351
1047.508601,1054.1014,1055.664
1047.597401,1054.2428,1055.9259
1047.748299,1054.7522,1056.0412
1047.9486,1054.8983,1057.5983
1048.2651,1055.1988,1057.7531
1048.911201,1055.3548,1057.8948
1049.0152,1055.2448,1057.960799
1049.2396,1055.512001,1058.1651
1054.0564,1055.6013,1058.2347
1059.7231,1059.7941,1058.433301
877.603799,890.107301,894.978
877.5702,890.255601,895.120901
878.9166,890.3971,895.2552
878.8693,893.424799,895.3203
878.9337,893.562401,895.528901
879.171201,893.747401,902.111499
879.236101,893.834,902.2616
879.2984,894.157501,902.3503
895.0347,894.1769,902.5449
900.7017,894.549299,902.7208
704.657401,708.998401,718.4906
704.668799,709.873801,719.2924
704.7882,710.097599,538.5914
707.7533,710.666501,538.6758
707.9833,710.8025,538.9026
708.6637,715.3405,538.970899
708.8008,716.989501,539.0365
708.9298,716.997,539.237799
719.448399,718.4035,540.8682
521.4244,532.829,554.4197
521.5322,532.9646,557.5998
521.4973,533.64,385.1975
522.085499,534.7364,396.4442
522.156201,534.8572,397.1375
558.7421,535.349701,397.282099
585.301999,537.5578,396.5448
385.723899,537.6835,397.8203
210.33,387.8451,210.0504
210.391799,389.7728,210.094899
210.6383,389.9813,210.2746
210.9236,390.110999,210.3189
212.0472,390.9052,84.8547
67.012201,391.0405,84.8506
69.3498,397.7089,85.7213
69.545101,398.0848,85.788999
71.128801,398.257801,89.955601
73.9509,75.2516,89.8863
74.027599,75.2837,90.002301
73.7641,76.5963,90.2501
75.156199,75.464601,90.1288
85.0204,76.943901,91.930599
85.1085,83.3598,386.206401
390.345099,83.382199,391.255799
391.4624,84.6208,421.4206
407.7205,84.8413,421.3951
407.631201,84.9091,422.3611
422.1509,388.510699,422.4501
34.935399,393.0338,71.1455
37.044199,395.2422,73.049201
40.1881,395.7282,73.2341
40.0873,406.5194,73.347499
40.168801,406.5125,73.2235
56.626,406.839701,73.241801
56.8107,407.0653,73.449501
56.8409,407.2337,74.3807
72.0543,410.1129,74.6911
74.014,56.8606,74.9613
46.0637,56.8901,115.364899
50.071699,64.0874,115.8077
99.5558,64.187299,116.731
99.5788,64.256499,116.931101
100.1371,64.2773,117.3623
100.6616,64.296,117.4277
101.6175,64.3116,117.9157
107.5869,71.0448,118.581
114.7374,73.4491,118.6445
115.383999,106.7262,119.1282
946.9535,109.6118,931.253801
947.185001,111.147701,944.336599
947.1958,114.2057,945.967901
947.4732,114.282301,946.1985
947.592801,115.078,111.8989
947.908299,115.239599,111.916
947.6173,115.393099,112.1978
947.7529,120.5732,112.2676
948.0042,120.638799,120.716501
83.72,947.6287,122.7004
88.5846,98.209901,122.768601
88.4728,104.0113,122.7856
90.6901,104.12,122.8208
91.827,106.713399,123.085701
91.7518,111.5049,1330.1766
95.8682,111.5825,51.2566
95.798499,111.603399,51.3391
112.4992,111.7488,53.093499
123.9025,111.786899,53.1627
1327.9828,111.8103,53.182899
1331.2531,1327.4586,53.2018
1334.7662,1333.9345,55.783
18.6345,41.2611,55.8564
20.5559,44.71,55.876
38.748701,44.787601,55.904501
38.9369,46.834701,1783.0211
38.845899,47.0097,1785.1871
39.0574,47.0295,1785.2744
39.0228,51.1676,1787.506001
39.1335,51.241399,1791.657399
41.115399,51.833,1794.2032
41.1822,56.3629,1794.369901
1838.7757,1794.4568,1800.229501
43.3997,82.371001,88.6792
46.660901,82.389799,88.6944
46.307199,82.4068,91.5754
46.833401,86.1985,91.6406
54.818,86.270001,91.656499
54.925699,86.2901,91.6516
72.5974,86.3119,91.916601
82.2966,86.3297,91.9088
87.4677,86.4923,91.9264
89.384399,86.51,92.143699
18.333301,35.8375,45.3308
19.429999,35.9725,50.18
25.8937,39.8218,50.2499
28.932901,42.507101,50.2687
30.488501,45.2162,50.286599
31.243201,45.2934,50.4255
32.3581,45.2133,50.4415
33.9876,45.3129,54.7883
36.1512,55.5134,54.859799
40.1857,55.601,54.944199
24.8528,34.4092,58.3995
24.766599,36.715301,58.5792
27.0983,44.9976,58.597599
27.1619,45.0851,58.6101
28.6768,56.1534,61.1982
29.523901,58.162899,61.261899
29.584399,58.636201,61.1283
29.598499,58.2987,74.687901
30.3492,58.717,74.917101
45.772599,58.3823,74.9341
18.8121,46.304399,74.8494
33.4857,48.352,76.1191
36.804401,48.3353,90.674499
38.372301,52.2721,90.6941
40.849299,57.338499,92.415401
40.9222,60.9931,92.4754
42,75.0556,96.3378
43.3313,75.1281,99.760301
44.250201,79.380401,99.635999
46.2009,90.705799,99.8918
