ERT,SIRT,MIRT
34.2991,45.658,50.102999
32.424199,45.872799,51.6404
32.428601,46.3033,54.0547
34.6189,46.331501,59.8217
45.382,46.1676,59.9392
45.422899,46.4135,60.028801
45.698901,46.800499,60.1085
45.802001,46.8191,60.350199
45.879901,47.2758,60.925699
46.092501,49.944001,60.9832
45.168899,105.7118,119.2441
45.160401,109.3627,120.720401
91.7789,108.5982,120.8326
95.0202,112.4509,134.0368
98.5432,112.5562,134.1591
100.2451,113.082299,134.2158
132.5777,115.049,134.371801
138.2172,118.884101,134.361
29.7419,118.9385,134.559799
31.499201,119.1484,134.672001
32.5128,42.677,60.2847
33.8465,47.185,60.6014
40.2271,50.3484,60.6848
40.3087,50.4248,61.91
40.293299,58.415901,68.608701
42.9211,58.581901,68.7415
58.419699,58.6564,68.812999
58.6309,60.2192,68.884
317.0539,80.0167,73.9759
321.4759,81.4034,79.2804
21.112301,36.257001,57.2388
22.6511,37.3503,57.2664
23.4507,39.010001,57.339099
24.877,40.1343,57.4083
26.391701,41.059,57.615201
27.4846,44.947401,58.3028
29.3918,45.0825,58.4309
33.413899,45.251399,60.5029
34.584999,56.0899,61.012
35.343601,56.2315,63.8527
26.973099,47.3062,58.9838
27.046701,47.429601,60.521501
29.152899,47.4132,61.0678
29.294601,49.102199,61.629101
29.3597,50.4431,63.5737
30.533901,50.5893,64.744399
32.4699,52.5553,65.6306
35.9276,55.598499,69.86
39.269699,75.7962,74.6801
43.4233,75.8639,74.8073
41.33,51.455801,58.273701
48.6692,54.429,58.6072
48.882401,54.566,58.684701
48.9486,54.6455,58.7484
49.120601,54.709899,59.6601
49.045399,54.9029,61.188
49.1113,55.4858,63.1489
58.679099,55.5673,63.811
59.064,55.643701,63.8225
65.2098,58.2037,63.9704
24.7115,52.1425,74.2838
24.6436,52.2473,74.5353
24.7656,60.387401,74.4821
37.2402,60.7044,90.7646
37.3462,61.423899,91.0102
40.034499,61.5358,91.5285
48.7962,62.6721,91.530701
49.5373,63.982499,93.480601
74.630199,64.9739,93.8808
74.8078,74.4212,93.927
39.0702,59.8481,71.6712
44.8037,59.8719,71.777
44.7156,59.8934,72.2036
44.7328,59.924501,72.2254
44.749899,71.3963,72.156599
44.8213,72.1352,72.1767
48.8089,72.1594,72.198201
49.7744,72.181601,72.2203
59.6925,73.043301,72.2452
59.8165,73.9974,72.315199
43.470801,69.231199,81.1186
53.3232,69.588101,81.140801
54.7212,76.3011,81.2962
58.156701,76.3288,81.6642
67.4238,76.6524,81.697001
67.5536,76.683001,92.1982
69.0756,76.824899,92.385101
69.155501,76.976299,92.3647
77.2307,76.9948,92.620499
81.8822,81.0329,92.646401
80.2196,111.9684,136.74
80.2313,112.038199,136.7609
80.251501,115.502,136.783199
94.203599,136.6123,137.4777
94.2887,136.714901,137.526099
94.312299,138.119299,138.3887
106.3148,138.1431,138.4948
111.9029,138.170801,138.5217
138.8328,138.2004,138.5428
139.6807,138.233,138.5665
49.2395,60.1286,72.8265
52.0667,61.896701,73.1323
54.203901,61.965,74.062901
54.177,63.226499,74.1361
57.8027,63.5439,74.349101
57.8719,65.445999,74.6404
57.8969,65.326901,76.1904
59.330601,72.6489,77.7162
62.0164,72.7264,78.032199
69.474599,72.8032,77.8643
29.1223,73.6608,85.745
29.020999,75.6838,98.246501
47.666,83.583199,98.326599
67.471599,83.5657,98.5584
67.5468,83.585701,108.2665
67.562,83.672101,108.356699
67.5751,83.6893,108.6318
68.669601,83.7095,109.7905
99.4152,98.819701,109.856899
116.712499,98.9188,115.5414
33.7526,51.6278,76.182999
34.0979,54.6399,82.2722
33.9488,54.700499,82.343
45.9584,62.969301,82.4261
63.568499,69.7696,82.422
63.756699,69.6372,85.6131
63.6249,73.3803,85.7796
69.6912,75.4824,101.014199
86.4038,75.572,101.0821
102.3983,75.6492,101.195401
112.8784,152.170601,153.3174
126.5789,152.199801,153.3349
127.583801,152.663299,153.356301
153.1711,152.684,153.5067
153.004,152.7061,153.5272
153.930199,153.2982,153.9139
153.954501,153.6092,153.9336
153.9758,154.565901,154.599599
154.5197,154.5643,154.6151
154.5345,154.5779,154.3045
60.2883,75.100999,92.2902
72.7107,75.9745,92.445
72.9012,77.547501,92.4632
72.8889,92.085,92.478699
72.9073,92.2482,92.5279
72.9281,92.363,93.9086
73.0805,92.3364,96.948801
73.841799,92.367199,97.0522
92.4112,94.0301,97.077399
92.5001,97.5724,112.9415
38.5607,134.0275,134.103599
38.5646,134.1512,134.368199
38.6933,134.174,142.8516
115.3618,134.188501,142.9216
116.766701,134.2057,144.5478
120.766401,134.0785,148.934601
120.7273,134.078199,149.1168
120.7961,134.088199,149.144401
157.412001,139.1554,149.2132
157.428,142.2806,156.0935
49.1683,58.136201,66.3621
50.6462,58.645501,67.4518
57.529399,62.4909,68.4927
57.4961,62.6475,77.318399
57.5678,62.807,77.408001
57.8783,63.8794,77.9833
58.024601,64.3349,79.049299
58.045801,65.3906,84.9463
58.4125,85.366499,85.0835
62.9582,87.484801,85.1021
28.708601,39.7948,59.904
30.9064,39.823301,60.430199
30.8142,42.882301,60.9704
33.007801,43.1014,64.4449
33.1907,59.1237,64.5399
35.544601,59.3947,65.118201
36.0074,59.4806,66.2674
37.737001,59.4994,66.2347
37.901,59.5161,70.3461
37.8644,60.095399,72.5919
32.010701,37.9181,64.1247
33.840601,40.3747,66.6332
34.4236,48.1003,66.6516
35.3027,49.5081,66.666299
35.7773,52.5137,66.6867
36.5211,55.3804,76.893099
37.7224,59.6509,77.5409
37.8382,62.3883,78.617499
40.8545,62.4495,78.6363
46.989801,63.0806,79.8863
33.632301,45.9637,61.923701
35.6444,47.4835,63.3846
35.849301,47.4531,64.349
38.4928,47.4713,67.2662
38.451801,48.1654,72.459199
40.2961,51.9387,73.2637
40.2653,51.975501,73.3295
42.061401,59.639001,76.0091
43.814,73.1913,76.0777
45.891101,73.277599,77.9164
28.936301,44.1302,53.9414
29.7072,44.199701,55.2025
29.7588,45.8629,55.2307
32.6222,47.6117,56.395399
33.921,47.7024,57.5558
34.190101,48.2967,64.174201
36.218,49.1696,64.3861
38.669201,50.6599,69.9964
41.053,50.899,70.0128
41.5796,53.9022,70.066499
34.7979,40.3279,50.8362
35.567399,41.1033,52.579601
35.478599,41.2369,52.6403
36.779,41.3145,53.765901
37.430799,46.732001,59.4227
37.496,46.819999,64.1513
39.277301,49.2259,73.5341
39.345699,49.949399,77.126
40.145,71.292101,78.1801
40.296899,74.1232,78.2693
33.736699,49.338701,66.3396
33.723999,52.3006,71.229601
33.7313,56.212,71.511499
33.7427,62.510601,71.541401
33.758101,62.4467,71.8469
33.944201,65.0857,71.9023
34.247701,65.554299,78.402301
45.6819,66.277899,78.427
48.6165,67.1192,78.5835
50.7963,72.0598,79.0356
25.191701,40.8556,52.2212
25.5519,42.1117,52.2832
32.971499,48.1863,53.0669
34.099399,49.6102,55.1323
34.0951,49.6989,55.1548
34.9665,50.3446,66.0296
35.1749,50.953099,69.2717
40.191,51.351599,69.3331
40.2182,69.905999,69.4098
40.8178,69.9472,69.624701
32.937199,50.376901,69.830099
33.6711,51.7602,69.909799
34.116199,52.7457,70.471499
35.9482,54.6495,70.427801
36.1049,54.6698,68.614101
38.1814,54.7331,69.4691
39.490399,55.361901,72.6728
39.546601,67.669599,76.1041
41.7229,69.7757,81.597601
43.312301,69.8237,81.6814
44.9029,54.174701,91.2685
45.99,54.283,91.8522
47.041101,54.507699,91.7369
47.8289,56.4562,92.4477
48.8789,84.300699,92.554201
49.102299,84.8563,94.2319
54.0281,84.922,94.2916
54.1281,88.2481,95.3059
90.8685,89.302099,96.8242
100.4763,90.3114,99.3414
28.6144,40.1878,65.035
28.5219,40.266099,67.2937
29.2619,41.1193,67.306701
29.3253,54.1702,68.3758
32.2341,54.2569,69.151001
34.5913,54.326701,69.9777
34.653999,54.3545,70.333699
35.2383,55.0711,70.521201
35.267,64.3375,71.0082
36.0418,65.2147,71.318001
29.3081,40.476199,60.9841
29.230399,41.2218,61.9298
29.338401,43.838399,62.5129
29.4469,45.475,62.5779
29.9433,46.5021,64.1069
30.0991,48.9685,64.904201
36.6875,49.5486,65.6716
40.2935,51.0297,65.704499
53.551699,51.8181,66.281699
66.9103,53.1603,70.235001
22.372999,39.3783,59.6637
22.6762,41.374401,59.7987
23.1964,47.495,66.0889
27.4838,49.2747,67.804199
29.2435,49.4875,67.8286
30.740399,50.615,69.667599
32.5947,51.128999,70.051899
33.702299,51.998499,74.203
36.590699,54.4333,74.1572
39.293599,59.0862,74.740099
27.767201,40.762799,51.6526
27.6678,43.0657,61.99
28.1027,44.3512,62.464299
28.8172,45.2355,62.588
31.019299,46.3561,65.603
31.101301,46.926199,70.1755
36.2954,47.998901,70.207799
40.559199,48.0624,70.7981
40.7613,50.111999,76.5909
40.7801,51.2354,76.6749
26.532499,32.1942,48.8519
26.4438,32.238001,49.4083
28.129801,38.762599,56.203199
28.915899,39.225499,56.7326
28.9752,40.1702,58.2674
29.3992,46.4978,58.3521
29.8465,46.5702,58.881499
31.234999,47.5838,68.636
32.9723,60.1085,70.275
33.035999,60.2,70.8444
26.8871,40.935499,54.475401
27.2681,41.5094,69.4545
27.2815,42.0079,69.9979
27.8235,43.0932,70.5125
28.4156,46.5096,71.1389
29.2954,49.2748,71.2091
30.789001,49.347399,73.7251
37.5977,52.325799,74.5557
39.2598,67.1431,78.7834
40.9033,79.2877,79.324099
26.701099,42.2861,66.7101
26.0683,44.8563,66.762699
26.1819,53.233701,66.8504
26.1315,53.295901,66.9107
31.0369,53.810699,75.028399
31.9237,54.5717,77.9692
33.2652,60.8795,78.4988
34.0393,61.9246,79.5236
38.1914,66.6666,80.1431
38.936801,66.6965,81.033
23.8894,39.558499,55.194001
24.4363,40.466499,55.2691
25.835,40.603,56.0034
27.3924,41.0157,58.060001
29.5283,52.291399,59.934
32.2727,52.4885,74.047
33.0407,53.072499,75.2691
35.7179,54.532101,75.3015
39.3951,57.646799,76.427401
39.473801,57.716701,77.5053
30.7923,40.0594,53.551
31.113301,41.8832,53.869201
32.2557,46.2235,54.329001
32.2425,47.980301,56.213301
33.2229,48.854101,57.4315
34.1058,49.601799,57.8936
34.969101,49.6836,64.7163
39.9695,53.493399,66.231301
40.0277,65.3822,66.2865
40.0432,66.6968,67.053299
28.3571,35.989099,46.124999
32.058699,36.4454,46.177499
33.253901,36.969,46.1898
33.2677,44.1466,46.5017
33.7846,44.2256,47.290301
