ERT,SIRT,MIRT
348.969001,346.0189,357.3493
377.155601,346.0568,376.1886
378.2481,356.747399,376.198899
211.393601,356.9221,376.571001
211.4416,356.921,376.761799
211.543101,357.3452,392.3374
211.437201,357.3473,404.5808
211.4875,363.8173,404.5785
236.4825,244.029199,404.6335
246.412399,244.174,404.7405
246.9371,244.2921,244.2938
259.6069,248.693701,250.8279
259.685499,274.0488,313.861801
262.088501,274.0789,314.1186
262.1395,276.145099,299.528201
262.3185,283.8579,299.717201
274.0324,284.157501,299.7354
273.9663,284.947299,299.8048
284.604599,284.825899,302.247501
284.637301,285.4597,322.059301
299.987401,298.9719,322.246101
136.2595,299.699901,322.223201
136.7091,222.033199,322.3926
136.8374,223.433901,322.6121
136.814,223.6204,238.483901
136.885899,234.208,238.6819
136.955799,234.621001,281.7604
137.28,234.5553,281.9577
137.344,234.8223,282.587801
137.266601,234.9305,282.795001
162.554501,234.916599,282.909701
706.0388,234.9583,283.014
706.626,684.4091,283.0924
191.621299,691.9837,283.462399
197.5746,705.069199,688.940899
208.4796,703.092601,701.830401
208.4103,703.137001,701.658
208.639401,703.2277,701.704399
208.576301,209.123201,211.9698
208.9101,209.3745,212.046799
208.954101,210.143301,212.3399
209.0352,210.2883,215.7506
209.5459,210.348999,218.058701
1135.2859,211.911001,222.234699
1141.2661,214.3114,222.615
1141.593701,215.053699,222.8538
161.7545,223.5082,222.982101
162.1124,227.787901,226.9151
162.044601,161.2769,183.6685
160.809301,161.533101,184.4587
161.0136,161.6022,184.5576
161.080999,163.0974,184.5951
161.1499,165.947999,184.7689
161.2096,166.1397,184.7032
163.4197,168.540001,185.249199
184.0697,168.752601,185.3185
1184.223,169.297801,185.688801
1186.624801,183.5928,186.0206
1195.001001,1185.9045,77.210601
1194.7163,1194.1536,77.319399
58.026099,75.7335,77.3589
60.6129,76.1101,77.550799
60.4968,76.1765,81.2649
61.6366,75.802,81.368
73.955899,76.1659,81.6074
74.117401,76.9692,81.706399
74.6812,76.8882,1079.749101
75.200599,77.0831,1081.3914
77.640101,77.278001,83.597801
78.8569,78.030099,123.651799
70.7483,91.153501,97.9615
70.7578,91.177601,100.8052
90.3704,91.3366,100.9641
90.5695,91.359,102.5345
90.812201,97.7509,102.6379
91.228099,97.878,102.660601
91.4619,97.907499,102.685
91.8041,97.931999,102.811001
91.9402,101.6853,102.8372
91.959601,168.756099,102.8565
99.541401,115.239,144.3658
99.5671,122.343699,144.4591
99.5253,122.3725,144.6095
114.9974,122.3524,144.685899
115.1404,122.4728,144.801899
115.228,122.453,144.6875
115.2556,122.6888,144.848799
122.5078,122.659099,144.945201
122.353,122.6846,144.972499
