ERT,SIRT,MIRT
34.3592,44.3701,78.9806
34.435699,46.1185,80.9924
37.916501,47.206601,81.878001
37.849601,49.5216,44.7409
39.776099,50.3916,46.489501
42.1655,53.5277,47.5733
42.991401,53.653801,53.1649
44.225701,54.4799,53.3074
51.659101,55.3968,53.377
84.9526,60.6531,53.4315
29.1507,37.126599,53.485599
32.7244,41.4467,53.8691
33.3358,42.936199,55.1431
33.262901,40.8189,268.5695
33.4804,41.5978,269.1363
34.601299,42.475501,269.0444
35.755201,42.5999,269.0897
35.8994,44.6305,269.354
38.0774,54.764201,269.8505
38.224899,69.8966,269.8944
17.8877,33.6789,44.9147
22.731999,34.7359,45.8778
22.860201,36.2125,46.910801
30.7359,41.0586,47.908199
30.946799,41.2494,49.095
31.0805,41.349799,51.0112
31.1484,41.749201,57.8673
31.217,44.0578,58.545
32.9191,60.1766,59.780701
37.0889,63.131601,61.434401
21.067701,37.968799,54.2297
34.2283,42.001701,54.5497
34.235,45.7768,54.662799
34.2682,46.1563,55.3662
34.436201,47.0867,55.4764
34.53,50.3788,56.5307
34.8472,50.46,58.789099
34.718101,51.378,59.4461
36.2331,54.6496,60.4677
40.0884,58.7987,61.6664
16.792799,43.998901,69.7255
18.9295,44.2128,70.8581
20.008501,44.292801,71.695701
24.1537,44.3631,72.620399
26.481499,44.473199,73.743101
31.224001,44.5449,76.9408
31.489901,44.990501,77.321799
41.976499,45.0583,78.3332
43.024599,49.6522,53.7785
43.9903,52.768801,53.978801
20.3556,45.604,54.115301
22.4753,46.0579,54.777899
24.243999,46.132801,62.3306
27.6854,46.1999,62.4925
29.549299,46.4291,63.5498
29.7384,46.910801,65.3112
30.8305,47.2402,67.2264
31.693399,49.146601,69.797801
45.604199,49.099,316.954401
46.6858,55.4926,319.0153
20.7172,36.127499,50.5538
22.9398,49.621601,51.0008
23.184499,49.6475,51.026199
27.582101,49.690001,51.007799
29.480601,49.9229,51.407001
33.4397,50.754299,51.992801
34.1202,51.134499,53.011801
34.1844,51.175601,56.457699
34.3236,51.213701,58.1775
35.183,51.5795,58.272301
19.767599,28.446099,35.4558
22.6063,29.689,35.5297
22.869,29.8324,36.384199
22.865,31.13,36.4559
24.632299,31.1831,38.541799
24.8739,31.644001,38.6147
24.897501,31.673,38.686299
25.1661,32.273,38.938701
25.3431,34.6572,40.494
26.3097,34.7479,40.444401
19.9474,34.3679,39.4159
20.581899,34.439801,45.879599
21.501999,35.2803,45.914299
22.5463,36.162899,45.9402
23.4701,37.2397,46.084199
27.0024,37.313299,58.239201
27.0209,38.647,63.0308
32.5121,39.347199,63.107799
32.581501,45.99,63.1778
33.3811,54.958299,66.627501
20.7621,33.1822,63.0554
21.600799,42.018601,63.306801
26.346801,43.7965,63.4187
29.0457,45.988901,63.436099
29.134,46.0233,63.451
30.0274,47.388299,63.597999
30.118299,48.8704,63.616399
31.439601,53.451001,63.7002
41.3884,63.931601,65.447
44.2608,64.1045,65.482901
17.8393,39.251399,51.394201
20.860699,40.2424,51.4718
21.798399,42.295801,51.9047
23.8963,43.438901,53.613
25.504399,44.3286,53.778699
26.0907,46.555101,56.8346
30.256601,46.5833,56.8998
31.677899,47.5044,56.916099
32.178701,49.722201,57.675101
33.3014,53.1117,65.9778
21.8456,37.5364,58.149999
24.621801,39.8635,58.178999
25.6958,41.8956,58.9997
27.7646,42.8489,71.409599
28.780099,45.0824,71.438299
33.5537,47.1781,71.4582
34.3237,54.4041,71.591301
35.483501,54.435601,71.671099
36.427999,56.2281,71.691199
57.355099,72.5911,71.7808
16.945199,31.580301,44.731799
19.009499,32.5787,48.969699
19.8062,33.5833,51.685601
21.1622,34.5628,51.770099
26.385999,35.6182,51.687199
27.397101,38.8574,53.7034
28.5048,41.0456,54.742499
30.3826,41.8183,61.528899
38.005,43.8731,62.7286
47.746599,45.951199,66.044
16.9599,31.870301,50.0327
19.478501,34.181401,54.956999
20.7019,36.5508,55.1243
21.606301,36.6296,55.1518
26.2836,38.3955,55.948999
29.304899,39.3219,58.062301
29.305001,48.236599,59.086901
29.5116,49.357401,59.987
30.8704,55.630299,63.2104
33.1357,62.842101,64.3006
52.4033,60.2801,83.199801
53.5713,61.9147,83.648899
54.6197,62.9036,83.741401
54.471299,64.9455,83.871
56.2665,65.9855,84.0986
57.9699,68.1451,85.033999
60.167299,68.2343,87.0966
60.254701,69.074,90.0935
84.5709,70.988801,90.1363
93.912501,75.054799,91.0684
376.252801,399.090699,411.2678
383.6125,399.120799,413.6038
387.7544,399.136,413.679601
399.8726,407.8133,429.930401
399.8731,407.9428,430.745001
399.866201,407.9707,431.9923
399.7749,408.0611,433.4971
399.7362,408.2582,433.772
408.5676,408.984,443.631901
431.6987,410.4355,464.239699
235.534399,245.986901,264.0596
236.497,246.0706,264.1361
237.6135,247.0906,264.159401
239.2525,249.152899,264.179
240.027699,249.3475,265.0351
240.7935,249.4083,265.1018
241.759101,250.079601,265.1141
241.8444,251.0977,265.1312
242.727801,264.172501,265.1516
245.0709,264.1181,265.6082
66.457399,71.154601,72.448799
66.632201,71.2356,72.7088
66.8605,71.268099,72.727
67.1555,71.372801,73.543701
67.118799,71.4487,73.616101
67.2285,71.499001,73.6378
67.2515,71.5224,73.6552
72.831501,71.546601,76.811301
73.232201,71.7617,76.847501
77.9941,72.5669,76.9606
17.548099,39.6374,50.6651
23.3221,40.5611,52.6535
24.9102,41.6605,53.898599
26.9577,41.9335,53.941299
28.154699,42.817599,54.8544
33.193499,47.9921,58.8819
33.9371,49.152699,59.9813
35.5922,50.187999,60.141799
36.5748,58.3343,60.917
37.7674,64.6595,62.522
16.828699,27.3236,38.695
23.6446,28.430901,39.7988
23.9346,32.213101,40.736199
23.755601,32.398899,43.5277
23.871901,33.3575,43.9679
25.2222,35.013901,44.0913
25.148599,35.701701,45.0187
25.164001,35.5755,46.2735
26.1866,42.403501,46.2992
28.961699,42.488201,47.395801
23.255199,40.3901,54.0282
24.1693,41.469299,54.106201
26.4666,45.993299,55.7823
26.389699,46.101199,56.8762
27.2169,47.6754,64.132699
28.5236,49.796001,65.947
36.9639,50.814001,66.6936
38.5622,51.6456,67.661901
39.3398,72.634499,68.701999
47.1477,73.590199,70.752099
32.440801,42.523499,61.4186
34.5263,43.509199,62.6645
36.3575,51.3126,67.9263
37.354,51.3589,69.972399
38.3749,54.083201,70.7963
39.458399,54.606301,71.840101
40.681599,55.4282,71.922
41.5177,56.5187,72.7606
58.1253,59.6183,73.7042
77.966699,61.380099,74.7421
